Number,Point1X,Point1Y,Point2X,Point2Y,D/S,Nominal Value,Impedance Tolerance,Line Width,Line Distance,Line Length,Xpos,XScale,Interval lower limit,Interval upper limit,Determine Method,Testpoint_1,Testpoint_2,Test Code,Layer,Net_1,Net_2
1,5905.5,5118.1,5905.5,5511.8,D,100,   ,5,16,39564.549,   ,   ,   ,   ,   ,TOP_0_0,TOP_1_0,   ,1,NET_0,NET_1
2,5905.5,7086.6,5905.5,6692.9,D,100,   ,6,16,39563.38921,   ,   ,   ,   ,   ,TOP_740_0,TOP_741_0,   ,1,NET_740,NET_741
3,29527.6,6692.9,29527.6,7086.6,D,100,   ,6,16,39564.01763,   ,   ,   ,   ,   ,TOP_800_0,TOP_801_0,   ,1,NET_800,NET_801
4,29527.6,5118.1,29527.6,5511.8,D,100,   ,5,16,39564.29045,   ,   ,   ,   ,   ,TOP_2_0,TOP_3_0,   ,1,NET_2,NET_3
5,53149.6,5118.1,53149.6,5511.8,D,100,   ,5,16,39564.549,   ,   ,   ,   ,   ,TOP_4_0,TOP_5_0,   ,1,NET_4,NET_5
6,53149.6,6692.9,53149.6,7086.6,D,100,   ,6,16,39564.15908,   ,   ,   ,   ,   ,TOP_860_0,TOP_861_0,   ,1,NET_860,NET_861
7,76771.7,6692.9,76771.7,7086.6,D,100,   ,6,16,39564.01763,   ,   ,   ,   ,   ,TOP_920_0,TOP_921_0,   ,1,NET_920,NET_921
8,76771.7,5118.1,76771.7,5511.8,D,100,   ,5,16,39564.349,   ,   ,   ,   ,   ,TOP_6_0,TOP_7_0,   ,1,NET_6,NET_7
9,100393.7,5118.1,100393.7,5511.8,D,100,   ,5,16,39564.549,   ,   ,   ,   ,   ,TOP_8_0,TOP_9_0,   ,1,NET_8,NET_9
10,100393.7,6692.9,100393.7,7086.6,D,100,   ,6,16,39564.15908,   ,   ,   ,   ,   ,TOP_980_0,TOP_981_0,   ,1,NET_980,NET_981
11,124015.8,6692.9,124015.8,7086.6,D,100,   ,6,16,39564.01763,   ,   ,   ,   ,   ,TOP_1040_0,TOP_1041_0,   ,1,NET_1040,NET_1041
12,5905.5,53149.6,5905.5,36614.2,S,100,   ,6,   ,394029.8185,   ,   ,   ,   ,   ,TOP_757_0,G_1141_4,   ,1,NET_757,NET_1141
13,5905.5,53543.3,5905.5,36614.2,S,100,   ,6,   ,393234.4831,   ,   ,   ,   ,   ,TOP_756_0,G_1141_4,   ,1,NET_756,NET_1141
14,5905.5,64960.6,5905.5,36614.2,S,100,   ,6,   ,196461.6654,   ,   ,   ,   ,   ,TOP_758_0,G_1141_4,   ,1,NET_758,NET_1141
15,5905.5,65354.3,5905.5,36614.2,S,100,   ,6,   ,196461.3826,   ,   ,   ,   ,   ,TOP_759_0,G_1141_4,   ,1,NET_759,NET_1141
16,5905.5,68110.2,5905.5,36614.2,S,100,   ,6,   ,117727.4641,   ,   ,   ,   ,   ,TOP_761_0,G_1141_4,   ,1,NET_761,NET_1141
17,5905.5,68503.9,5905.5,36614.2,S,100,   ,6,   ,117727.1813,   ,   ,   ,   ,   ,TOP_760_0,G_1141_4,   ,1,NET_760,NET_1141
18,5905.5,69685,5905.5,36614.2,S,100,   ,6,   ,19911.88195,   ,   ,   ,   ,   ,TOP_762_0,G_1141_4,   ,1,NET_762,NET_1141
19,5905.5,70078.7,5905.5,36614.2,S,100,   ,6,   ,19911.59911,   ,   ,   ,   ,   ,TOP_763_0,G_1141_4,   ,1,NET_763,NET_1141
20,5905.5,71259.8,5905.5,36614.2,S,100,   ,6,   ,12037.88195,   ,   ,   ,   ,   ,TOP_764_0,G_1141_4,   ,1,NET_764,NET_1141
21,5905.5,71653.5,5905.5,36614.2,S,100,   ,6,   ,12037.59911,   ,   ,   ,   ,   ,TOP_765_0,G_1141_4,   ,1,NET_765,NET_1141
22,5905.5,72834.6,5905.5,36614.2,S,100,   ,6,   ,8100.881951,   ,   ,   ,   ,   ,TOP_766_0,G_1141_4,   ,1,NET_766,NET_1141
23,5905.5,73228.4,5905.5,36614.2,S,100,   ,6,   ,8100.881951,   ,   ,   ,   ,   ,TOP_767_0,G_1141_4,   ,1,NET_767,NET_1141
